1045,IQT46194413,American Airlines Group Inc.,
1078,IQT46193236,Abbott Laboratories,
1161,IQT46194326,Advanced Micro Devices,
1177,IQT46193699,Aetna Inc.,
1209,IQT46194614,Air Products and Chemicals, Inc.
1300,IQT46205977,Honeywell International Inc.,
1380,IQT46193849,Hess Corporation,
1447,IQT46195298,American Express Company,
1449,IQT323680030,Aflac Incorporated,
1487,IQT46193990,American International Group, Inc.
1602,IQT46194370,Amgen Inc.,
1632,IQT313310770,Analog Devices, Inc.
1678,IQT46194584,APA Corporation,
1690,IQT237925204,Apple Inc.,
1704,IQT263213046,Applied Materials, Inc.
1722,IQT46193488,Archer-Daniels-Midland Company,
1773,IQT46194757,Arrow Electronics, Inc.
1794,IQT1822336902,Ashland Inc.,
1891,IQT263206629,Automatic Data Processing, Inc.
1913,IQT244437094,Avery Dennison Corporation,
1919,IQT46195184,Avnet, Inc.
1932,IQT46195783,British American Tobacco p.l.c.,
1976,IQT46196426,Baker Hughes Holdings LLC,
1988,IQT46196533,Ball Corporation,
2085,IQT46196745,Bausch & Lomb Incorporated,
2086,IQT46195846,Baxter International Inc.,
2111,IQT46196206,Becton, Dickinson and Company
2136,IQT46223278,Verizon Communications Inc.,
2150,IQT46196520,Belo Corp.,
2176,IQT46197250,Berkshire Hathaway Inc.,
2184,IQT46195950,Best Buy Co., Inc.
2269,IQT313309010,H&R Block, Inc.
2270,IQT46202743,Valaris Limited,
2285,IQT46195429,The Boeing Company,
2338,IQT46216219,Rexam Limited,
2369,IQT46195642,Brookfield Corporation,
2393,IQT46196401,Briggs & Stratton Corporation,
2403,IQT46196685,Bristol-Myers Squibb Company,
2410,IQT46197014,BP p.l.c.,
2444,IQT46195971,Brunswick Corporation,
2490,IQT46196708,Burlington Northern Santa Fe, LLC
2504,IQT46222272,Unisys Corporation,
2547,IQT46198775,The Cigna Group,
2558,IQT46199166,CNA Financial Corporation,
2574,IQT46199926,CSX Corporation,
2593,IQT313311522,Cabot Corporation,
2710,IQT46219530,Constellation Brands, Inc.
2721,IQT61227153,Canon Inc.,
2751,IQT46197768,Cardinal Health, Inc.
2787,IQT46199817,Carpenter Technology Corporation,
2812,IQT46201079,Dole Food Company, Inc.
2817,IQT46198171,Caterpillar Inc.,
2884,IQT46199947,Lumen Technologies, Inc.
2991,IQT46200112,Chevron Corporation,
3107,IQT313310869,Cleveland-Cliffs Inc.,
3121,IQT46199066,The Clorox Company,
3144,IQT46208538,The Coca-Cola Company,
3170,IQT46198963,Colgate-Palmolive Company,
3226,IQT46302605,Comcast Corporation,
3243,IQT46197694,Citigroup Inc.,
3246,IQT46199093,Commercial Metals Company,
3278,IQT46198450,Avis Budget Group, Inc.
3310,IQT46197734,CA, Inc.
3336,IQT46199872,DXC Technology Company,
3362,IQT46197756,Conagra Brands, Inc.
3416,IQT46199319,XPO CNW, Inc.
3469,IQT311163445,Continental Resources, Inc.
3502,IQT46199937,Cooper Tire & Rubber Company,
3505,IQT46220217,Molson Coors Beverage Company,
3532,IQT46204578,Corning Incorporated,
3580,IQT209638973,Crane Company,
3591,IQT79636455,Onemain Finance Corporation,
3650,IQT46199132,Cummins Inc.,
3734,IQT644701407,Dana Incorporated,
3735,IQT46200858,Danaher Corporation,
3813,IQT46220782,Target Corporation,
3835,IQT46200612,Deere & Company,
3851,IQT46200333,Delta Air Lines, Inc.
3863,IQT46200986,Deluxe Corporation,
3964,IQT46200572,Dillard's, Inc.
3980,IQT1795610165,The Walt Disney Company,
4040,IQT46216783,R. R. Donnelley & Sons Company,
4058,IQT46201143,Dover Corporation,
4066,IQT46213799,Omnicom Group Inc.,
4087,IQT46200528,EIDP, Inc.
4145,IQT313306438,Revvity, Inc.
4201,IQT323680090,Eaton Vance Corp.,
4213,IQT323680110,Ecolab Inc.,
4321,IQT46202311,Emerson Electric Co.,
4423,IQT213789472,Equifax Inc.,
4439,IQT46209576,Telefonaktiebolaget LM Ericsson (publ),
4503,IQT54191878,Exxon Mobil Corporation,
4510,IQT263205880,FMC Corporation,
4598,IQT46203190,FedEx Corporation,
4611,IQT46203137,Macy's, Inc.
4818,IQT313306441,Fluor Corporation,
4839,IQT46202947,Ford Motor Company,
4885,IQT313317459,Franklin Resources, Inc.
4941,IQT46204660,GATX Corporation,
4988,IQT46204180,TEGNA Inc.,
4990,IQT46204804,The Gap, Inc.
5046,IQT46204207,General Dynamics Corporation,
5047,IQT244437087,General Electric Company,
5071,IQT46204446,General Mills, Inc.
5072,IQT46204639,Ally Financial Inc.,
5073,IQT127280715,General Motors Company,
5180,IQT46205038,GSK plc,
5229,IQT46204814,Goodrich Corporation,
5234,IQT46205049,The Goodyear Tire & Rubber Company,
5439,IQT46205209,Halliburton Company,
5492,IQT46206136,L3Harris Technologies, Inc.
5518,IQT46898995,Hasbro, Inc.
5597,IQT46206228,The Hershey Company,
5606,IQT46206055,HP Inc.,
5639,IQT60387957,Hill-Rom Holdings, Inc.
5650,IQT46205688,Hitachi, Ltd.
5680,IQT46205518,The Home Depot, Inc.
5691,IQT46205898,Honda Motor Co., Ltd.
5723,IQT46205997,Starwood Hotels & Resorts Worldwide, LLC
5735,IQT46225354,HSBC Finance Corporation,
5783,IQT313316377,J.B. Hunt Transport Services, Inc.
5878,IQT46207612,Illinois Tool Works Inc.,
6008,IQT46207083,Intel Corporation,
6066,IQT46206637,International Business Machines Corporation,
6097,IQT46206853,International Game Technology,
6104,IQT46207184,International Paper Company,
6136,IQT46207217,The Interpublic Group of Companies, Inc.
6266,IQT46207813,Johnson & Johnson,
6268,IQT46600868,Johnson Controls International plc,
6375,IQT46207969,Kellanova,
6435,IQT46208424,Kimberly-Clark Corporation,
6494,IQT46208570,Komatsu Ltd.,
6502,IQT46208706,The Kroger Co.,
6506,IQT46208773,Kubota Corporation,
6565,IQT715543695,Lam Research Corporation,
6649,IQT313313705,Leggett & Platt, Incorporated
6653,IQT313310165,Legg Mason, Inc.
6669,IQT46209157,Lennar Corporation,
6682,IQT323679880,Jefferies Financial Group Inc.,
6730,IQT46209524,Eli Lilly and Company,
6733,IQT46209775,Bath & Body Works, Inc.
6742,IQT46209617,Lincoln National Corporation,
6768,IQT46209384,Kate Spade & Company,
6774,IQT46209597,Lockheed Martin Corporation,
6781,IQT46209786,Loews Corporation,
6788,IQT313316535,Range Resources Corporation,
6821,IQT46209722,Louisiana-Pacific Corporation,
6829,IQT46209672,Lowe's Companies, Inc.
6830,IQT46209985,The Lubrizol Corporation,
6865,IQT46210384,Sekisui House U.S., Inc.
6946,IQT313311252,Magna International Inc.,
7017,IQT46211602,Marathon Oil Corporation,
7065,IQT46211181,Marsh & McLennan Companies, Inc.
7085,IQT46210097,Masco Corporation,
7114,IQT46210181,Panasonic Holdings Corporation,
7116,IQT46210169,Mattel, Inc.
7154,IQT46210338,McDonald's Corporation,
7163,IQT46210657,S&P Global Inc.,
7171,IQT46210360,McKesson Corporation,
7186,IQT46210687,Medco Health Solutions, Inc.
7241,IQT46200090,CVS Health Corporation,
7257,IQT46218058,Merck & Co., Inc.
7343,IQT313317694,Micron Technology, Inc.
7435,IQT46211201,3M Company,
7471,IQT46211047,Mitsui & Co., Ltd.
7585,IQT46211478,Motorola Solutions, Inc.
7620,IQT46211782,Murphy Oil Corporation,
7637,IQT646957467,Viatris Inc.,
7652,IQT46212162,NEC Corporation,
7750,IQT46220857,Tenet Healthcare Corporation,
7769,IQT46213013,National Rural Utilities Cooperative Finance Corporation,
7866,IQT46213465,The New York Times Company,
7875,IQT46213329,Newell Brands Inc.,
7881,IQT106833241,Newmont Corporation,
7906,IQT46212619,NIKE, Inc.
